Year;Played;Win;Draw;Loss;PF;PA;Diff;BP;Points;Place;Playoffs;Champ
1996;11;6;0;5;291;269;22;4;28;6th;;N
1997;11;4;0;7;272;295;?23;3;19;11th;;N
1998;11;6;0;5;279;291;?12;5;29;7th;;N
1999;11;5;0;6;248;301;?53;6;26;6th;;N
2000;11;3;0;8;257;352;?95;8;20;10th;;N
2001;11;6;0;5;301;330;?29;4;28;6th;;N
2002;11;4;0;7;323;341;?18;8;24;8th;;N
2003;11;2;0;9;257;274;?17;9;17;10th;;N
2004;11;7;0;4;274;251;23;5;33;4th;Lost semi-final to Brumbies;N
2005;11;5;1;5;272;250;22;6;28;6th;;N
2006;13;7;1;5;325;298;27;6;36;7th;;N
2007;13;7;1;5;373;321;52;10;40;6th;;N
2008;13;7;0;6;348;349;?1;6;34;7th;;N
2009;13;9;0;4;338;236;102;9;45;2nd;Lost final to Bulls;N
2010;13;4;1;8;340;418;?78;8;26;11th;;N
2011;16;6;1;9;332;348;?16;4;40;10th;;N
2012;16;12;0;4;444;358;86;8;64;1st;Defeated Sharks in final;Y
2013;16;12;0;4;458;364;94;10;66;1st;Defeated Brumbies in final;Y
2014;16;8;2;6;384;378;6;8;44;5th;Lost qualifier to Brumbies;N
2015;16;10;0;6;372;299;73;8;48;5th;Lost qualifier to Highlanders;N
2016;15;11;0;4;491;341;150;7;51;6th;Lost semifinal to Hurricanes;N
2017;15;12;1;2;433;292;141;7;51;6th;Lost semifinal to Crusaders;N
2018;16;11;0;5;463;368;95;5;49;5th;Lost quarterfinal to Hurricanes;N
2019;16;7;2;7;451;465;?14;4;36;7th;Lost quarterfinal to Jaguares;N
