Season;Pos;Pld;W;D;L;F;A;+/-;BP;Pts;Notes;Champ
1996;8th;11;5;0;6;329;391;?62;6;26;;N
1997;12th;11;3;0;8;299;409;?110;5;17;;N
1998;4th;11;7;0;4;343;279;64;6;34;lost semi-final to Auckland Blues;N
1999;2nd;11;8;0;3;280;203;77;3;35;lost final to Crusaders;N
2000;3rd;11;6;0;5;320;280;40;8;32;lost semi-final to Crusaders;N
2001;5th;11;6;0;5;284;295;?11;5;29;;N
2002;4th;11;8;0;3;329;207;122;6;38;lost semi-final to Crusaders;N
2003;7th;11;6;0;5;287;246;41;5;29;;N
2004;9th;11;4;1;6;299;347;?48;8;26;;N
2005;8th;11;6;1;4;221;214;7;1;27;;N
2006;6th;13;6;0;7;228;276;?48;3;27;;N
2007;9th;13;5;0;8;235;301;?66;7;27;;N
2008;9th;13;3;0;10;257;338;?81;7;19;;N
2009;11th;13;4;0;9;254;269;?15;10;26;;N
2010;12th;13;3;0;10;297;397;?100;6;18;;N
2011;8th;16;8;0;8;296;343;?47;5;45;;N
2012;9th;16;9;0;7;359;385;?26;6;50;;N
2013;14th;16;3;0;13;374;496;?122;9;29;;N
2014;6th;16;8;0;8;401;442;?41;10;42;Lost qualifier to Sharks;N
2015;4th;16;11;0;5;450;333;117;9;53;Champions;Y
2016;5th;15;11;0;4;422;273;149;8;52;Lost semifinal to Lions;N
2017;7th;15;11;0;4;488;308;180;7;51;Lost quarterfinal to Crusaders;N
2018;6th;16;10;0;6;437;445;?6;4;44;Lost quarterfinal to Waratahs;N
2019;8th;16;6;3;7;441;392;49;6;36;Lost quarterfinal to Crusaders;N
