Season;Pld;W;D;L;PF;PA;PD;Pts;Pos;Champ
1996;11;3;0;8;290;353;?63;17;9;N
1997;11;6;0;5;416;314;102;34;3;N
1998;11;5;0;6;313;342;?29;26;8;N
1999;11;4;1;6;213;226;?13;22;10;N
2000;11;6;0;5;308;329;?29;29;8;N
2001;11;5;0;6;291;316;?25;25;9;N
2002;11;5;0;6;232;317;?85;23;9;N
2003;11;7;0;4;324;277;47;35;3;N
2004;11;4;1;6;275;303;-28;23;11;N
2005;11;8;0;3;281;248;33;34;4;N
2006;13;10;0;3;328;226;102;47;2;N
2007;13;6;0;7;247;300;?53;27;8;N
2008;13;8;1;4;310;204;106;41;4;N
2009;13;9;0;4;380;279;101;44;3;N
2010;13;7;1;5;358;323;35;37;8;N
2011;16;5;2;9;328;398;?70;42;9;N
2012;16;10;0;6;489;429;60;57;8;N
2013;16;6;0;10;386;457;?71;41;11;N
2014;16;8;0;8;439;374;65;41;7;N
2015;16;14;0;2;458;288;170;66;1;N
2016;15;11;0;4;458;314;144;53;1;Y
2017;15;12;0;3;596;272;324;58;5;N
2018;16;11;0;5;474;343;131;51;4;N
2019;16;12;1;3;449;362;87;53;4;N
